ID,betingelse,item,svar,svartid,maksimalafvigelser
53,1,7,1,1.74,0.64465
53,1,11,1,1.89,-0.08364
53,1,15,1,1.92,-0.12934
53,2,1,1,2.21,1.06791
53,2,5,1,3.46,-0.02588
53,2,9,0,1.76,0.41600
53,2,13,0,1.64,0.03336
53,3,2,1,2.26,0.08002
53,3,6,1,6.05,0.16001
53,3,10,1,1.83,0.77472
53,3,14,1,3.17,0.66215
53,4,4,0,3.12,0.08597
53,4,8,0,5.38,0.25520
53,4,12,0,1.83,-0.23922
53,4,16,0,1.74,0.33487
53,5,19,1,1.68,0.39191
53,5,23,1,2.02,0.62454
53,5,27,1,1.41,0.11335
53,5,31,0,1.66,0.08483
53,6,17,1,6.13,0.25298
53,6,21,1,2.72,-0.13015
53,6,25,0,na,na
53,6,29,0,2.95,0.58324
53,7,22,0,5.54,-0.19156
53,7,26,0,1.84,0.78222
53,7,18,0,na,na
53,7,30,1,8.95,0.24897
53,8,20,1,2.18,0.34074
53,8,24,0,4.76,0.07787
53,8,28,1,8.71,0.21579
53,8,32,1,2.44,0.05044
54,1,4,1,1.90,0.29629
54,1,8,0,4.39,0.08977
54,1,12,1,3.92,-0.08730
54,1,16,1,4.94,0.06444
54,2,2,0,5.48,0.30553
54,2,6,1,2.95,0.16584
54,2,10,1,5.44,0.12572
54,2,14,0,2.21,0.26030
54,3,3,1,2.27,0.07879
54,3,7,1,2.60,0.18894
54,3,11,1,2.73,0.08022
54,3,15,1,2.01,-0.10824
54,4,1,0,4.29,-0.08934
54,4,5,0,2.31,-0.09977
54,4,9,0,4.25,0.07175
54,4,13,0,3.09,0.21149
54,5,20,1,2.45,0.15531
54,5,24,1,3.47,0.05944
54,5,28,1,4.85,0.13659
54,5,32,1,4.10,0.24558
54,6,18,1,1.89,0.21818
54,6,22,1,5.50,0.18134
54,6,26,0,5.04,0.32181
54,6,30,1,5.53,0.38129
54,7,19,0,4.41,1.02844
54,7,23,1,4.53,0.16476
54,7,27,0,3.67,0.17241
54,7,31,1,2.85,0.15372
54,8,17,0,3.05,-0.07938
54,8,21,1,3.86,-0.02964
54,8,25,0,5.46,0.14453
54,8,29,0,4.12,0.34824
61,1,1,1,1.67,0.50120
61,1,5,0,2.16,0.87075
61,1,9,0,2.91,-0.10455
61,1,13,0,1.83,-0.13225
61,2,3,1,1.81,-0.15108
61,2,7,1,5.13,1.06321
61,2,11,1,2.19,1.09168
61,2,15,1,1.99,-0.26439
61,3,4,1,1.98,0.37807
61,3,8,0,3.29,-0.25153
61,3,12,1,3.51,-0.05231
61,3,16,1,1.59,0.88206
61,4,2,0,1.79,0.91577
61,4,6,0,2.17,-0.11289
61,4,10,0,1.91,-0.12735
61,4,14,1,1.87,0.83052
61,5,17,0,1.69,-0.09904
61,5,21,1,1.91,-0.22271
61,5,25,0,1.71,0.13794
61,5,29,1,1.53,0.03763
61,6,19,0,3.13,0.13259
61,6,23,1,1.50,0.36130
61,6,27,0,1.91,1.13312
61,6,31,1,1.53,0.26596
61,7,20,1,2.59,-0.34508
61,7,24,1,2.95,1.14589
61,7,28,1,2.56,-0.14571
61,7,32,1,1.97,0.30188
61,8,18,0,2.35,1.05915
61,8,22,1,1.51,0.19859
61,8,26,1,3.17,0.14758
61,8,30,1,2.21,0.73712
62,1,2,1,2.18,0.19551
62,1,6,1,3.89,0.87841
62,1,10,1,2.76,-0.24669
62,1,14,1,2.32,1.06257
62,2,4,0,2.50,0.31432
62,2,8,0,3.70,0.50989
62,2,12,0,1.88,-0.04242
62,2,16,0,2.60,0.10881
62,3,1,1,2.24,0.91080
62,3,5,1,4.22,-0.14575
62,3,9,1,3.96,0.78101
62,3,13,1,2.34,-0.03487
62,4,3,1,6.29,1.07461
62,4,7,0,1.96,0.18739
62,4,11,0,4.35,1.21448
62,4,15,0,2.68,-0.14274
62,5,18,0,2.94,-0.21230
62,5,22,1,4.85,1.06774
62,5,26,0,2.70,0.05083
62,5,30,0,4.83,1.04091
62,6,20,1,2.00,0.89504
62,6,24,0,4.62,0.94844
62,6,28,1,3.53,0.80084
62,6,32,1,2.21,0.49703
62,7,17,0,2.65,0.04465
62,7,21,0,2.96,0.75481
62,7,25,0,2.41,0.86113
62,7,29,0,4.13,1.17720
62,8,19,1,2.80,0.19900
62,8,23,1,2.69,-0.13833
62,8,27,1,4.92,1.05408
62,8,31,0,3.10,0.07595
63,1,3,0,3.88,0.65747
63,1,7,1,4.97,0.97038
63,1,11,0,7.81,0.28279
63,1,15,1,6.71,0.47098
63,2,1,1,5.28,1.26153
63,2,5,0,5.90,0.24596
63,2,9,1,7.58,1.26519
63,2,13,1,3.06,0.58133
63,3,2,1,2.24,1.41833
63,3,6,0,5.40,0.91301
63,3,10,1,2.16,0.44826
63,3,14,1,2.12,-0.12818
63,4,4,0,8.32,1.09592
63,4,8,0,5.00,0.59169
63,4,12,0,1.87,0.62024
63,4,16,1,5.20,0.76290
63,5,19,1,4.34,1.07337
63,5,23,1,3.00,0.39816
63,5,27,0,2.96,0.35510
63,5,31,1,3.26,0.63062
63,6,17,1,3.34,0.24099
63,6,21,1,3.58,-0.39568
63,6,25,1,3.66,0.68206
63,6,29,1,3.50,0.57095
63,7,18,1,3.92,0.59610
63,7,22,0,6.46,0.63668
